key.country_id,vertical_name,key.gender,key.age,value.bounces,value.visits,value.new_visitors,value.transactions
US,/News,female,65+,12441179,27829232,5508886,7064
US,/News,male,18-24,25069272,52747720,12974732,2209
US,/News,male,25-34,112297015,250430934,46006902,3485
US,/News,male,35-44,96662017,230593472,20951627,2268
US,/News,male,45-54,99258563,247365330,23903144,6237
US,/News,male,55-64,54584783,134636555,17244488,7337
US,/News,male,65+,34262221,78548471,14642952,22508
US,/Law & Government,female,18-24,2182047,4185746,2516120,2349
US,/Law & Government,female,25-34,5359420,9845781,5403790,30730
US,/Law & Government,female,35-44,3156551,5778590,3339433,10115
US,/Law & Government,female,45-54,2475784,4463341,2447178,8612
US,/Law & Government,female,55-64,2004000,3681344,2064338,8025
US,/Law & Government,female,65+,688986,1297267,725435,3087
US,/Law & Government,male,18-24,1965862,3941704,2060139,2164
US,/Law & Government,male,25-34,7233767,13303348,6865224,36642
US,/Law & Government,male,35-44,3602086,6959676,3533718,18816
US,/Law & Government,male,45-54,4133297,7842535,3753062,22986
US,/Law & Government,male,55-64,2524933,4862853,2190462,14331
US,/Law & Government,male,65+,1443152,2848156,1250435,8691
US,/Jobs & Education,female,18-24,41477853,82291341,27253271,398604
US,/Jobs & Education,female,25-34,20904660,43823507,16716459,245108
US,/Jobs & Education,female,35-44,20773116,41803375,18121277,255748
US,/Jobs & Education,female,45-54,9181613,20067994,7228367,123082
US,/Jobs & Education,female,55-64,6501364,14148745,4964930,94643
US,/Jobs & Education,female,65+,1866501,3468170,1161247,22879
US,/Jobs & Education,male,18-24,24270275,45818160,15692718,267961
US,/Jobs & Education,male,25-34,14466473,30327069,11644292,165162
US,/Jobs & Education,male,35-44,8151807,17144820,6498688,111759
US,/Jobs & Education,male,45-54,7616222,16338086,5603830,99526
US,/Jobs & Education,male,55-64,4362618,8876440,2879256,48856
US,/Jobs & Education,male,65+,2201860,3959755,1162504,12623
US,/Internet & Telecom,female,18-24,5959608,17521140,8075287,315878
US,/Internet & Telecom,female,25-34,6923955,19713039,9504619,401182
US,/Internet & Telecom,female,35-44,5612896,16564733,8161712,506073
US,/Internet & Telecom,female,45-54,3985629,13442773,6168053,626842
US,/Internet & Telecom,female,55-64,3990238,14119021,6682528,729234
US,/Internet & Telecom,female,65+,2941082,9554934,4275383,758417
US,/Internet & Telecom,male,18-24,7115925,16498491,8850613,242243
US,/Internet & Telecom,male,25-34,23724932,51792883,21251088,494971
US,/Internet & Telecom,male,35-44,10966175,26490879,11600228,451470
US,/Internet & Telecom,male,45-54,7320538,19924931,9310729,578751
US,/Internet & Telecom,male,55-64,3533033,10520125,5253911,376764
US,/Internet & Telecom,male,65+,2717942,8036927,3980890,497661
US,/Home & Garden,female,18-24,3511388,7509324,4850981,183762
US,/Home & Garden,female,25-34,12993162,30375498,17006809,462864
US,/Home & Garden,female,35-44,7219169,17367812,9864715,298545
US,/Home & Garden,female,45-54,6670023,16814262,8864303,297652
US,/Home & Garden,female,55-64,11809122,30153877,15144052,499952
US,/Home & Garden,female,65+,7300828,18260520,8099692,319480
US,/Home & Garden,male,18-24,1740379,3471858,2244130,44075
US,/Home & Garden,male,25-34,7742117,17073148,10103168,179380
US,/Home & Garden,male,35-44,5195678,12068920,6944128,142169
US,/Home & Garden,male,45-54,6985329,17022927,9485006,259172
US,/Home & Garden,male,55-64,7143110,17763132,9264785,356344
US,/Home & Garden,male,65+,5167952,12637558,6264913,242579
US,/Hobbies & Leisure,female,18-24,2102609,5003819,2908675,81612
US,/Hobbies & Leisure,female,25-34,5774334,14862380,6890939,335153
US,/Hobbies & Leisure,female,35-44,4015043,11687591,4758923,416900
US,/Hobbies & Leisure,female,45-54,3064723,8033541,2942697,160531
US,/Hobbies & Leisure,female,55-64,7917905,21414175,5308258,198832
US,/Hobbies & Leisure,female,65+,7162635,20385127,2943358,74794
US,/Hobbies & Leisure,male,18-24,1710598,4000099,1666490,23615
US,/Hobbies & Leisure,male,25-34,5097140,11013306,4040974,53245
US,/Hobbies & Leisure,male,35-44,3655233,8519599,2799184,54376
US,/Hobbies & Leisure,male,45-54,3764438,9750117,2830807,51779
US,/Hobbies & Leisure,male,55-64,2917305,8213673,2161304,46283
US,/Hobbies & Leisure,male,65+,1363560,3561983,1037671,25235
US,/Games,female,18-24,7273029,21887085,7053554,5415415
US,/Games,female,25-34,6174982,18037548,4325238,8461340
US,/Games,female,35-44,7128749,30456191,6609290,23444475
US,/Games,female,45-54,2851867,9213447,1819341,143325
US,/Games,female,55-64,4354791,15367139,2153774,91097
US,/Games,female,65+,5791406,27676215,1468726,48048
US,/Games,male,18-24,20304842,54002953,17668843,4693978
US,/Games,male,25-34,12517675,30719047,9631075,4251816
US,/Games,male,35-44,5846102,19846794,4778198,8615608
US,/Games,male,45-54,3087989,9543596,2039815,22409
US,/Games,male,55-64,2337061,7693364,1393223,28146
US,/Games,male,65+,3267970,11684331,1011452,45241
US,/Food & Drink,female,18-24,16294301,31034721,17481626,618197
US,/Food & Drink,female,25-34,46285940,90424625,41628563,4534949
US,/Food & Drink,female,35-44,19574480,38388615,19080512,623263
US,/Food & Drink,female,45-54,13945334,28199305,13247723,267937
US,/Food & Drink,female,55-64,19427890,39227522,17702545,311179
